fold,test_season,training_matches,test_matches,baseline_accuracy,model_accuracy,accuracy_improvement,baseline_log_loss,model_log_loss,log_loss_improvement
1,2023-24,1140,380,0.4605263157894737,0.5736842105263158,0.11315789473684212,19.444602486234253,0.9476118764721129,18.49699060976214
2,2024-25,1520,380,0.40789473684210525,0.5263157894736842,0.11842105263157893,21.341636875135155,0.9994959621689056,20.34214091296625
3,2025-26,1900,380,0.4263157894736842,0.47368421052631576,0.04736842105263156,20.67767483901984,1.0411447583736775,19.636530080646164
