fold,test_season,feature,importance,rank
3,2025-26,home_venue_last_5_goals_for,0.02606046700148163,12
3,2025-26,away_season_matches_before_match,0.025823171242032546,13
3,2025-26,home_season_matches_before_match,0.024242679943912,14
3,2025-26,away_venue_last_5_goals_against,0.02364360634963761,15
3,2025-26,away_last_5_goals_for,0.02336822104490767,16
3,2025-26,home_last_5_goals_for,0.02313903054978158,17
3,2025-26,home_venue_last_5_goals_against,0.0229656789826606,18
3,2025-26,away_rest_days,0.02217936932337937,19
3,2025-26,home_last_5_goals_against,0.021685028161064414,20
3,2025-26,home_last_5_points,0.020966238563057637,21
3,2025-26,home_rest_days,0.020382152531822184,22
3,2025-26,home_venue_last_5_points,0.01995762221687161,23
3,2025-26,away_last_5_goals_against,0.01978416810247464,24
3,2025-26,away_venue_last_5_points,0.01925225520046113,25
3,2025-26,away_last_5_points,0.018723870812862756,26
3,2025-26,away_venue_last_5_goals_for,0.01809204662906272,27
3,2025-26,home_last_5_wins,0.012822437886247255,28
3,2025-26,away_last_5_draws,0.011649630451987157,29
3,2025-26,home_last_5_losses,0.010430559713716467,30
3,2025-26,away_venue_last_5_losses,0.010428644435069927,31
3,2025-26,home_venue_last_5_losses,0.010367162634279344,32
3,2025-26,home_venue_last_5_draws,0.010292716938816608,33
3,2025-26,away_venue_last_5_draws,0.009734716455627247,34
3,2025-26,home_last_5_draws,0.009719873882604525,35
3,2025-26,home_venue_last_5_wins,0.009427294222524836,36
3,2025-26,away_last_5_wins,0.009360209290434063,37
3,2025-26,away_last_5_losses,0.008963393388934095,38
3,2025-26,away_venue_last_5_wins,0.008703942964630352,39
3,2025-26,home_venue_matches_available_last_5,0.00292141697826852,40
3,2025-26,away_venue_matches_available_last_5,0.0013494090785638282,41
3,2025-26,home_matches_available_last_5,0.0009248824215893768,42
3,2025-26,away_matches_available_last_5,0.0005662129736064451,43
