fold,test_season,result_class,brier_score
1,2023-24,H,0.20410740865987467
1,2023-24,D,0.1710139832369436
1,2023-24,A,0.18347886873622174
2,2024-25,H,0.21617765145435852
2,2024-25,D,0.1846976081811616
2,2024-25,A,0.19789173505719243
3,2025-26,H,0.22451474822187498
3,2025-26,D,0.20365846450513114
3,2025-26,A,0.19801599326811425
