fold,test_season,result_class,precision,recall,f1_score,support
1,2023-24,H,0.6129032258064516,0.76,0.6785714285714286,175
1,2023-24,D,0.0,0.0,0.0,82
1,2023-24,A,0.5246913580246914,0.6910569105691057,0.5964912280701754,123
2,2024-25,H,0.5258620689655172,0.7870967741935484,0.6304909560723514,155
2,2024-25,D,0.5,0.021505376344086023,0.041237113402061855,93
2,2024-25,A,0.5277777777777778,0.5757575757575758,0.5507246376811594,132
3,2025-26,H,0.510548523206751,0.7469135802469136,0.606516290726817,162
3,2025-26,D,0.0,0.0,0.0,104
3,2025-26,A,0.4154929577464789,0.5175438596491229,0.4609375,114
